epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3859.94,0.52363,0.29889,0.91156,0.95889,0.95188,0.9728,0.81477,0.62436,0.30011,0.94018,0.000171074,0.000171074,0.000171074
84,3906.51,0.52409,0.3011,0.91199,0.97223,0.94607,0.97295,0.81156,0.62453,0.30171,0.93774,0.000162075,0.000162075,0.000162075
85,3953.16,0.5104,0.28949,0.9023,0.96613,0.94922,0.97212,0.81076,0.62342,0.29967,0.94902,0.000153076,0.000153076,0.000153076
86,3999.74,0.51462,0.2943,0.91035,0.96553,0.94917,0.973,0.81037,0.61787,0.29742,0.94378,0.000144077,0.000144077,0.000144077
87,4045.93,0.50709,0.28617,0.90416,0.96641,0.95165,0.97147,0.81271,0.61485,0.29359,0.9404,0.000135077,0.000135077,0.000135077
88,4092.28,0.50673,0.28712,0.90713,0.96248,0.95602,0.9723,0.80695,0.61589,0.29314,0.93705,0.000126078,0.000126078,0.000126078
89,4138.8,0.50344,0.28734,0.90601,0.96256,0.95573,0.97223,0.81205,0.61539,0.29077,0.93788,0.000117079,0.000117079,0.000117079
90,4185.43,0.50129,0.28314,0.90463,0.96101,0.95608,0.97181,0.81672,0.60891,0.29361,0.93856,0.00010808,0.00010808,0.00010808
91,4245.57,0.48443,0.2602,0.88058,0.96529,0.95067,0.97216,0.81302,0.62012,0.29392,0.94449,9.9081e-05,9.9081e-05,9.9081e-05
92,4291.56,0.47078,0.25574,0.87395,0.96207,0.96159,0.98678,0.81258,0.62252,0.29765,0.94566,9.00819e-05,9.00819e-05,9.00819e-05
93,4337.96,0.47006,0.25422,0.8769,0.96555,0.94865,0.97164,0.81651,0.62278,0.294,0.94716,8.10828e-05,8.10828e-05,8.10828e-05
94,4384.81,0.46137,0.24769,0.86603,0.95587,0.9504,0.97227,0.81941,0.62074,0.29891,0.94593,7.20837e-05,7.20837e-05,7.20837e-05
95,4430.71,0.45884,0.24628,0.86749,0.95942,0.95109,0.97217,0.81567,0.62091,0.30549,0.94627,6.30846e-05,6.30846e-05,6.30846e-05
96,4476.38,0.45619,0.24296,0.86356,0.97874,0.9468,0.97339,0.81886,0.62128,0.29921,0.94908,5.40855e-05,5.40855e-05,5.40855e-05
97,4522.33,0.45136,0.24196,0.86126,0.9719,0.94394,0.97263,0.81744,0.61473,0.29574,0.94659,4.50864e-05,4.50864e-05,4.50864e-05
98,4568.04,0.45048,0.24372,0.8673,0.96738,0.95047,0.97237,0.82087,0.61044,0.2895,0.94054,3.60873e-05,3.60873e-05,3.60873e-05
99,4613.65,0.44329,0.24056,0.86029,0.97232,0.94418,0.97221,0.81941,0.61062,0.28742,0.94309,2.70882e-05,2.70882e-05,2.70882e-05
100,4659.54,0.44546,0.23946,0.86199,0.97139,0.94332,0.97236,0.81801,0.61008,0.28655,0.94083,1.80891e-05,1.80891e-05,1.80891e-05
